cardiologist,broken bone of sternum,3
cardiologist,chest flapping,4.5
cardiologist,disordered sternum,3.5
cardiologist,irregular heart beat,5
cardiologist,lump in sternum,3
cardiologist,numb chest,3
cardiologist,swelling of sternum,3.5
cardiologist,swollen sternum,3.5
dentist,bleeding gums,4
dentist,damage of tooth enamel,4
dentist,do not meet the teeth properly,4
dentist,drainage from mouth,3.5
dentist,grinding teeth,3.5
dentist,gum ache,3.5
dentist,red gum,5
dentist,red spots in mouth,5
dentist,swelling of gums,4
dentist,swollen gums,4
dermatologist,acne,3
dermatologist,baldness,3.5
dermatologist,baldness of some parts of the head,5
dermatologist,black skin of finger,4.4
dermatologist,black skin of fingers,4.5
dermatologist,black skin on feet,5
dermatologist,black spots on face,3.5
dermatologist,black spots on nails,4
dermatologist,bleeding face,2
dermatologist,blue skin of finger,4.5
dermatologist,blue skin of fingers,4.5
dermatologist,blue skin of palms,4
dermatologist,blue skin on foot,5
dermatologist,brittle hair,5
dermatologist,broken face,3
dermatologist,bulge in the face,3.5
dermatologist,burning of scalp,3.5
dermatologist,cheek swelling,4.5
dermatologist,color change of fingers,4
dermatologist,color change of palms,4
dermatologist,development of excessive hair on the face,5
dermatologist,eczema,4
dermatologist,excessive sweating of palms,4
dermatologist,eyebrows,4.5
dermatologist,face is bleeding,2
dermatologist,hair fall,5
dermatologist,hair problem,5
dermatologist,injury marks on face,4
dermatologist,itching,2.5
dermatologist,lump on face,3.5
dermatologist,marks on face,5
dermatologist,psoriasis,4
dermatologist,rashes,4.5
dermatologist,red spots on nails,4
dermatologist,scabies,2.5
dermatologist,skin infections,5
dermatologist,skin irritation of scalp,5
dermatologist,skin problems,5
dermatologist,swelling in face,3.5
dermatologist,swelling of scalp,5
dermatologist,swollen face,3.5
dermatologist,swollen scalp,5
dermatologist,tinea,3.5
dermatologist,urticaria,4
dermatologist,visible insects on scalp,5
dermatologist,visible parasites on scalp,5
dermatologist,vitiligo,5
dermatologist,white hair,5
dermatologist,white spots on the scalp,5
dermatologist,wrinkle in a single palm,4
dermatologist,wrinkles,5
ent specialist,abnormal taste in mouth,4
ent specialist,bad breath,3.5
ent specialist,bad smell of breath,3.5
ent specialist,bad taste in mouth,3.5
ent specialist,bad voice,3.75
ent specialist,bitter odor of breath,3.5
ent specialist,bleeding of ear,3
ent specialist,blister on the toungue,1.5
ent specialist,breathing of nose,3.5
ent specialist,broad neck,4
ent specialist,bulgy nose,3
ent specialist,burning of ear,3
ent specialist,burning of ears,3.5
ent specialist,burning of nose,3.5
ent specialist,colorful spit,4
ent specialist,deaf,4
ent specialist,deafness,4
ent specialist,decrease in sense of smell,3.5
ent specialist,difficulty in opening mouth,3
ent specialist,difficulty in opening the mouth,3
ent specialist,disordered mouth,3
ent specialist,disordered nose,3
ent specialist,eardrum,4
ent specialist,flavor reduction,4
ent specialist,fluffy tongue,4
ent specialist,frequent infection of nose,3.5
ent specialist,hoarse voice,3.75
ent specialist,hyperthyroidism,5
ent specialist,hypothyroidism,5
ent specialist,increase in thirst,3.5
ent specialist,increased glands,1
ent specialist,itching of ear,1.5
ent specialist,itching of ears,1
ent specialist,itching of nose,3.5
ent specialist,laryngitis,4
ent specialist,lump in ear,3.5
ent specialist,lump in jaw,3
ent specialist,lump in neck,3
ent specialist,lump in nose,3
ent specialist,migraine,4
ent specialist,nasal breathing difficulty,4
ent specialist,nasal congestion,3.5
ent specialist,noise sensitive,3.5
ent specialist,noise while breathing,3.5
ent specialist,not able to open jaw,3
ent specialist,not able to open mouth,3
ent specialist,numbness of ear,3
ent specialist,numbness of ears,3
ent specialist,numbness of nose,3
ent specialist,pain in ear,3
ent specialist,pain in nose,2.5
ent specialist,restlessness of nose,2.5
ent specialist,snore,4
ent specialist,snoring,4
ent specialist,sore throat,1.25
ent specialist,spots in throat,4
ent specialist,spots on tonsils,4
ent specialist,swelling of ear,3.5
ent specialist,swelling of ears,3
ent specialist,swelling of mouth,3
ent specialist,swelling of nose,3
ent specialist,swelling of tonsils,4
ent specialist,swollen mouth,2
ent specialist,swollen tongue,4
ent specialist,swollen tonsils,4
ent specialist,thick saliva,3
ent specialist,thirsty,3
ent specialist,throat spots,4
ent specialist,tingling of nose,2.5
ent specialist,torn tongue,3.5
ent specialist,unable to open jaw,3
ent specialist,unable to open mouth,3
ent specialist,weird smell,3
ent specialist,weird taste,3
ent specialist,nose watering,1
gastroentrologist,gastroenteritis,5
gastroentrologist,hemorrhoids,3
gastroentrologist,pain on swallowing,5
gastroentrologist,piles,2
gastroentrologist,stagnation of food while swallowing,3
gastroentrologist,stomach ache,2
general physician,abdominal pain,3
general physician,acid flavour in mouth,4
general physician,acidity,3.5
general physician,anaphylaxis,3.5
general physician,anemia,2.5
general physician,back ache,4
general physician,bleeding elbow,2
general physician,bleeding foot,3
general physician,bleeding of arms,3
general physician,bleeding of fingers,3
general physician,bleeding of head,2.5
general physician,bleeding of hips,3
general physician,bleeding of jaws,3
general physician,bleeding of palms,2
general physician,bleeding of rectum,4
general physician,bleeding of thighs,3
general physician,bleeding of wrists,2
general physician,bleeding shin,2
general physician,bleeding thigh,2
general physician,blisters on the tongue,3.5
general physician,bloody saliva,3.5
general physician,body ache,2.5
general physician,breathlessness,3
general physician,bronchitis,3
general physician,bulge in forerunner,2
general physician,bulge in shin,2
general physician,burning in mouth,3
general physician,burning micturition,3
general physician,burning of mouth,4
general physician,chest burn,3
general physician,chest pain,3
general physician,chewing continuously,3
general physician,cold,3
general physician,cold hands,4.5
general physician,constipation,4
general physician,cough,2
general physician,dakar,3
general physician,diabetes,3
general physician,diarrhoea,3
general physician,disc,3.5
general physician,drainage from nose,3.5
general physician,dry mouth,3
general physician,earache,3
general physician,easy fatiguability,4
general physician,excessive water in month,3
general physician,fast pulsation,3
general physician,fever,2
general physician,fistula,3
general physician,flu,0.5
general physician,gastritis,3.5
general physician,head ache,2
general physician,headache,1
general physician,height issues,4
general physician,infection,1
general physician,insomnia,4
general physician,itching of ear,4
general physician,itching of ears,3
general physician,itching of mouth,4
general physician,jaundice,5
general physician,legs cramp,3
general physician,loose motion,5
general physician,loss of appetite,3
general physician,lump in arm,1.5
general physician,lump in bicep,2
general physician,lump in chest,1
general physician,lump in finger,4.5
general physician,lump in forerunner,2
general physician,lump in hip,2
general physician,lump in mouth,4
general physician,lump in palm,2
general physician,lump in shin,2
general physician,lump in skull,3
general physician,lump in thigh,2
general physician,lump in tricep,2
general physician,lump in upper arm,4.5
general physician,lump in wrist,4
general physician,lump on tongue,4.5
general physician,mellitus,
general physician,muscular pain,2
general physician,muscular spasms in face,3.5
general physician,numb thigh,4
general physician,numb wrist,3
general physician,numbness in face,3.5
general physician,numbness in feet,2
general physician,numbness in shin,3
general physician,numbness in thigh,2
general physician,numbness of arms,2
general physician,numbness of fingers,4
general physician,numbness of hip,2
general physician,numbness of palms,2
general physician,numbness of wrist,2
general physician,oral thrush,4
general physician,pain abdomen,3
general physician,pain in abdomen,3
general physician,pain in chest,3
general physician,pain in forerunner,3
general physician,pain in leg,2
general physician,pain in mouth,5
general physician,pain in shin,2
general physician,pain in shoulder,2
general physician,pain in thigh,2
